City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,nova vicosa,-17.8919,-39.3719,297.8,88,99,5.27,BR,1699076396
336,pisco,-13.7,-76.2167,289.27,88,61,1.03,PE,1699076543
337,rawatbhata,24.9333,75.5833,303.7,25,45,3.04,IN,1699076396
338,princeville,45.7668,-61.2985,281.99,94,20,2.06,CA,1699076396
339,evanston,42.0411,-87.6901,284.25,77,100,1.54,US,1699076397
340,sault ste. marie,46.5168,-84.3333,274.46,92,75,1.54,CA,1699076397
341,neiafu,-18.65,-173.9833,298.53,88,75,5.14,TO,1699076397
342,punta arenas,-53.15,-70.9167,280.21,70,75,3.6,CL,1699076397
343,la foa,-21.7108,165.8276,296.13,71,97,4.89,NC,1699076397
344,ak-dovurak,51.1833,90.6,263.21,55,0,0.45,RU,1699076398
345,bistrita,47.1332,24.5001,284.4,84,100,1.69,RO,1699076398
346,santa cruz del sur,20.7147,-77.9956,298.14,84,97,5.81,CU,1699076398
347,baker city,44.7749,-117.8344,282.95,87,0,5.14,US,1699076527
348,paracuru,-3.41,-39.0306,300.43,85,50,3.53,BR,1699076399
349,naze,28.3667,129.4833,299.66,70,83,4.92,JP,1699076399
350,wanning,18.8003,110.3967,301.49,74,54,4.11,CN,1699076399
351,bomdila,27.25,92.4,288.39,55,12,3.13,IN,1699076399
352,yebaishou,41.3975,119.6408,287.82,36,25,3.44,CN,1699076399
353,iskateley,67.6803,53.1512,268.72,95,53,4.92,RU,1699076400
354,al bardiyah,31.7561,25.0865,297.31,36,0,5.46,LY,1699076400
355,kayyerkan,69.3786,87.7439,265.54,85,100,12.46,RU,1699076375
356,erenhot,43.6475,111.9767,284.94,23,100,5.41,CN,1699076400
357,klyuchi,52.2667,79.1667,274.71,61,100,6.7,RU,1699076548
358,tam ky,15.5667,108.4833,301.6,76,22,2.92,VN,1699076401
359,trincomalee,8.5711,81.2335,300.88,74,100,2.1,LK,1699076549
360,dalandzadgad,43.5708,104.425,276.76,16,43,12.88,MN,1699076401
361,el nido,11.1858,119.3956,302.88,71,100,2.7,PH,1699076401
362,iquitos,-3.7481,-73.2472,298.17,94,0,1.03,PE,1699076402
363,mogocha,53.7333,119.7667,264.16,27,0,1.09,RU,1699076403
